city,name,phone,address,source,has_whatsapp,status
Абакан,Стахановец.рф Абакан Аскизская,79235914222,"ул. Аскизкая, 177 В",stahanovec.ru,True,new
Абакан,Стахановец.рф Абакан Енисей,79235863111,"Автодорога Енисей 404 км, 1",stahanovec.ru,True,new
Азов,Аренда строительных инструментов Азов,79775335026,"ул. Победы, 20Ж",spravker.ru,True,new
Азов,ПрофиРент Азов,79612896622,г. Азов,profi.rent,True,new
Азов,ХозяиН Азов,79281004610,"Объездной пр., 7А",spravker.ru,True,new
Аксай,Ваш Дом Аксай,78633100003,"г. Аксай, ул. Вартанова, 11",vashdom24.ru,True,new
Аксай,Стройрент Аксай,78633332893,"г. Аксай, пр. Ленина, д. 53 Д",stroyrent.ru,True,new
Ангарск,Стахановец.рф Ангарск,79526339899,"Московский тракт, д. 1, корп. 3, павильон 15а (база Сатурн)",stahanovec.ru,True,new
Артем,Стахановец.рф Артем,79206221444,"п. Новый, ул. Хрустальная, д.15",stahanovec.ru,True,new
Барнаул,Стахановец.рф Барнаул,79206216444,"Проспект Космонавтов, д.10, к.4а",stahanovec.ru,True,new
Батайск,Аренда инструмента Ленинградская,79281110041,"ул. Максима Горького, 372",spravker.ru,True,new
Батайск,Впрокате Батайск,79198825969,"Рыбная ул., 119",spravker.ru,True,new
Батайск,Инструментик Батайск,79996968167,"Кооперативная ул., 103",xtool.ru,True,new
Батайск,Инструментик Батайск 2,79885602422,"Кооперативная ул., 103",xtool.ru,True,new
Батайск,Фирма ЛТД Батайск,78633089672,Промышленная улица,spravker.ru,True,new
Белая Калитва,Калитва Прокат,79612949445,"ул. Вахрушева, 3А",vk.com/kalitvaprokat,True,new
Великий Новгород,Стахановец.рф Великий Новгород,79206212999,"ул. Сенная, 14",stahanovec.ru,True,new
Владивосток,Стахановец.рф Владивосток,79241230606,"ул. Вострецова, 45/1",stahanovec.ru,True,new
Владимир,Стахановец.рф Владимир Луначарского,79302215222,"ул. Луначарского, 30",stahanovec.ru,True,new
Владимир,Стахановец.рф Владимир Новгородская,79209184488,"ул. Новгородская, 16, павильон 32",stahanovec.ru,True,new
Волгоград,Стахановец.рф Волгоград Кооперативная,79297806080,"ул. Кооперативная, 22",stahanovec.ru,True,new
Волгоград,Стахановец.рф Волгоград Новодвинская,79275408080,"ул. Новодвинская, 56А",stahanovec.ru,True,new
Волгоград,Стахановец.рф Волгоград Песчанокопская,79375605080,"ул. Песчанокопская, 2А",stahanovec.ru,True,new
Волгоград,Стахановец.рф Волгоград Титова,79377414040,"ул. Германа Титова, 73Б",stahanovec.ru,True,new
Волгодонск,Аренда-инструмента-161 Волгодонск,79381615767,"пер. Пупкова, 22",spravker.ru,True,new
Волгодонск,ПрокатИнСтрой Волгодонск,79081889080,"пр-т Курчатова, 1ж, бокс 13",vk.com/prokatenstroi,True,new
Волгодонск,Прокатстрой Волгодонск,79185305523,"СНТ Машиностроитель 1п, Романовское шоссе",fooby.ru,True,new
Волгодонск,ПРОКАТСТРОЙСЕРВИС Волгодонск,79381117706,"ул. Шлюзовская, 11",prokatstroyresurs.ru,True,new
Воронеж,Бригадир Прокат,74732000352,"ул. Димитрова, 112",brigadirprokat36.ru,True,new
Воронеж,Бригадир Прокат моб.,79009314692,"ул. Димитрова, 112",brigadirprokat36.ru,True,new
